Compound_ID,Protein_ID,Label
DB08198,Q7K6A4,0
DB14487,P02765,1
DB14065,O00187,0
DB11638,Q8I5Y3,1
DB03182,Q746I8,0
DB08134,P24941,1
DB02432,P83794,0
DB07084,P02931,1
DB07668,P11350,0
DB08185,Q5SJH3,1
DB02656,P20132,0
DB00171,P42684,1
DB00560,P17302,0
DB07841,O95749,1
DB07875,Q96PD5,0
DB02123,P0AET8,1
DB06274,P06818,0
DB13174,Q13133,1
DB07458,P07438,0
DB08357,Q6FEW8,1
DB01156,P09467,0
DB01593,P49908,1
DB04337,P60723,0
DB00402,Q9UN88,1
DB00967,P34024,0
DB00999,P00918,1
DB00661,P19571,0
DB03496,Q00534,1
DB01918,Q9ULB1,0
DB06203,P27487,1
DB06880,P05653,0
DB00362,A2QLK4,1
DB13061,P08922,0
DB02430,P36673,1
DB11195,P23467,0
DB02141,P29474,1
DB07239,O67040,0
DB14533,Q96PD5,1
DB14060,Q9KM65,0
DB06403,P24530,1
DB03690,Q9F6D4,0
DB01656,Q08493,1
DB00413,Q9UDX3,0
DB08895,P29597,1
DB01179,P07355,0
DB01812,O14792,1
DB06873,P95673,0
DB11638,Q8IJ74,1
DB04775,P96618,0
DB08167,Q8NMG3,1
DB00627,Q12797,0
DB03984,P25774,1
DB07329,P78536,0
DB00543,P08912,1
DB06913,Q693P7,0
DB00143,P15121,1
DB06992,Q9H239,0
DB09236,Q02641,1
DB05540,Q05513,0
DB00342,P35367,1
DB01124,P09012,0
DB07815,Q6P093,1
DB00220,P03706,0
DB03866,P35354,1
DB04529,P0AD65,0
DB00798,P0A7S3,1
DB06710,P31327,0
DB14491,P00450,1
DB04336,P0A6C8,0
DB01942,Q9BVM4,1
DB07746,Q57193,0
DB01905,P00749,1
DB03490,Q9NSD5,0
DB01752,Q9WZX6,1
DB08335,P46828,0
DB00703,P43166,1
DB02809,P41145,0
DB04326,P60174,1
DB03425,P08048,0
DB06216,P35367,1
DB06243,Q15788,0
DB09130,P05121,1
DB00527,P43155,0
DB11273,P08913,1
DB00412,P17612,0
DB09076,P08172,1
DB04556,P34969,0
DB03740,Q9HYN5,1
DB02585,Q9H228,0
DB14487,P02533,1
DB04172,P06310,0
DB07953,P0A2K1,1
DB08175,P00915,0
DB03518,P13702,1
DB00270,Q79MP6,0
DB08846,P05771,1
DB00829,P05089,0
DB04200,Q6PKH6,1
DB02076,P02533,0
DB01325,P55017,1
DB00585,Q9L6V3,0
DB00836,P41145,1
DB00281,P23297,0
DB06410,P11473,1
DB00795,O14791,0
DB02033,P03366,1
DB08364,Q14894,0
DB14487,P04731,1
DB14583,P62277,0
DB08383,Q9Y233,1
DB02289,P22459,0
DB00253,P04150,1
DB06538,P53608,0
DB00239,O75469,1
DB06847,Q8IJT2,0
DB01123,Q58L87,1
DB07021,P78334,0
DB14487,P16455,1
DB04216,Q5SID9,0
DB04288,P24941,1
DB00850,P21673,0
DB01902,P46459,1
DB05792,Q04230,0
DB06446,O00555,1
DB04605,P23368,0
DB01077,P38606,1
DB00794,Q8NEV4,0
DB02059,P0A9S1,1
DB00608,P69054,0
DB02991,P29475,1
DB07874,Q9X108,0
DB08042,P35968,1
DB07385,P43405,0
DB03237,P0AES2,1
DB02004,Q8I814,0
DB12010,Q9H2K8,1
DB04386,Q02761,0
DB08485,Q9H2S1,0
DB01752,O87696,1
DB06966,Q8I4R5,0
DB00780,P80404,1
DB06094,Q7LG56,0
DB01033,Q06203,1
DB07723,P01303,0
DB13746,Q13698,1
DB00263,Q26000,0
DB00985,P35367,1
DB13166,Q01468,0
DB12010,Q7L7X3,1
DB14507,P26918,0
DB04099,P18843,1
DB03340,Q46444,0
DB11093,P30626,1
DB04869,P04155,0
DB00162,P00352,1
DB02992,P04629,0
DB00759,P0AG59,1
DB06996,Q9HU22,0
DB12010,P29376,1
DB11755,Q6NSD4,0
DB03600,Q9NZD2,1
DB01228,P07510,0
DB00882,P04278,1
DB01959,Q03154,0
DB00402,P34903,1
DB01844,Q83P33,0
DB01226,P08172,1
DB08782,P0DJ06,0
DB08107,P14900,1
DB04140,P09917,0
DB00138,O60931,1
DB08361,O60427,0
DB00842,P47869,1
DB07119,P22309,0
DB02855,P07858,1
DB06900,A5X5Y0,0
DB03317,P0ABK9,1
DB03220,P04252,0
DB07090,P9WGR1,1
DB05993,P32239,0
DB09202,P35368,1
DB01927,O00182,0
DB03679,Q46444,1
DB00221,P45059,0
DB00152,Q9H3S4,1
DB03808,P43119,0
DB08128,P11086,1
DB08907,P15879,0
DB08620,Q494W8,1
DB00933,P55769,0
DB06603,Q13547,1
DB09027,Q8II73,0
DB12010,P07948,1
DB00333,Q8N8R3,0
DB01073,P27707,1
DB08490,P24300,0
DB00627,Q15274,1
DB03021,Q48436,0
DB03317,P00137,1
DB00262,P0AEG6,0
DB01331,P0A3M6,1
DB00822,P26393,0
DB12010,P05129,1
DB02498,Q07820,0
DB08260,Q08638,1
DB01074,P16591,0
DB05045,P50391,1
DB00981,O00182,0
DB01987,Q9LCV9,1
DB04128,P17117,0
DB02772,P11759,1
DB08248,P12564,0
DB00418,O60391,1
DB04460,P68371,0
DB03796,Q9X1H9,1
DB01233,P03706,0
DB00675,Q12809,1
DB03555,P52597,0
DB01393,Q03181,1
DB03984,P00325,0
DB01238,P14416,1
DB00416,P68871,0
DB04315,P13551,1
DB07977,P04392,0
DB02975,Q83JC4,1
DB01191,P0AB71,0
DB14185,P21728,1
DB02733,P49354,0
DB07812,P31751,1
DB00492,P0DM35,0
DB01681,P15259,1
DB02096,Q9NY47,0
DB00989,P22303,1
DB02226,Q81C15,0
DB04132,Q8MU52,1
DB08790,P06632,0
DB01186,P21728,1
DB07654,Q79MP6,0
DB02068,P50440,1
DB07875,Q46704,0
DB08330,P31930,1
DB03041,P24024,0
DB00802,P35372,1
DB09300,Q746L7,0
DB02379,P02943,1
DB04983,P26662,0
DB04395,P03960,1
DB01454,P30926,0
DB11817,O60674,1
DB01083,P28331,0
DB08615,P22303,1
DB07669,Q4W8W1,0
DB08219,P24941,1
DB01847,P41743,0
DB00333,Q9Y6Y9,1
DB02812,Q96Q40,0
DB07347,P21281,1
DB01452,P32019,0
DB00996,O15399,1
DB03933,Q66282,0
DB04866,P02452,1
DB06829,P08546,0
DB01065,P46597,1
DB04165,P62166,0
DB08818,Q07021,1
DB03314,Q81EW9,0
DB00900,Q72547,1
DB03664,P37957,0
DB01170,P23975,1
DB04568,O14976,0
DB14487,P20742,1
DB02898,D6R448,0
DB01148,P08172,1
DB03320,Q8IDQ9,0
DB00988,Q01959,1
DB03248,P11166,0
DB01589,P48169,1
DB08535,Q6TME4,0
DB00143,Q16775,1
DB01035,Q9WY54,0
DB00237,P78334,1
DB02901,P21918,0
DB08771,P28845,1
DB07368,P01303,0
DB14185,P35462,1
DB07908,P51168,0
DB04570,P02919,1
DB06986,Q9ZGH3,0
DB14635,P11473,1
DB02630,O07732,0
DB03462,P07650,1
DB01338,Q8ILE8,0
DB00493,P0A3M6,1
DB06988,Q5T4S7,0
DB00334,P07550,1
DB09212,P12004,0
DB09304,P30939,1
DB12924,P29322,0
DB01442,P31645,1
DB07194,P41595,0
DB07819,P10845,1
DB08057,O60911,0
DB07010,P28482,1
DB08386,P30084,0
DB07720,P43681,1
DB06970,Q27796,0
DB03439,P04745,1
DB03304,Q26609,0
DB01992,P23181,1
DB06913,Q8N339,0
DB07473,P04585,1
DB08815,P17931,0
DB01032,Q9NYV7,1
DB00810,P05164,0
DB08268,P28720,1
DB09211,Q8NER1,0
DB04381,P05091,1
DB00842,P13661,0
DB02181,P15531,1
DB03321,P06493,0
DB00157,P03923,1
DB08226,Q48255,0
DB07654,O14757,1
DB03856,Q9UJS0,0
DB02482,Q04759,1
DB02046,Q7K9G0,0
DB07239,P27487,1
DB07150,P28329,0
DB11712,P13569,1
DB00323,Q13233,0
DB02346,Q55793,1
DB02310,P02768,0
DB04272,P10930,1
DB02136,Q99653,0
DB01581,P0AC13,1
DB08254,P77390,0
DB11582,Q16445,1
DB02902,P62714,0
DB11638,C0H571,1
DB02394,P55408,0
DB02353,P13501,1
DB02283,P01042,0
DB01593,P0C0L5,1
DB02669,P25275,0
DB01221,P46098,1
DB03152,Q15746,0
DB04464,P00414,1
DB06525,Q16566,0
DB00476,Q01959,1
DB08393,P01764,0
DB07224,P07858,1
DB04117,P53554,0
DB03068,P0ABF6,1
DB01262,O75676,0
DB09130,P04406,1
DB13929,Q9A1B7,0
DB02527,P94182,1
DB03870,P08684,0
DB07644,Q96C86,1
DB01992,P11230,0
DB00413,P21918,1
DB07697,P38424,0
DB07910,P03369,1
DB08029,P14193,0
DB09224,P14416,1
DB00184,P0A017,0
DB03559,P08319,1
DB03953,P27487,0
DB00668,P35368,1
DB07220,P00509,0
DB03553,P0AB80,1
DB01777,P00742,0
DB05025,P00441,1
DB00184,P07110,0
DB06549,P30411,1
DB14529,P0AB91,0
DB00960,P07550,1
DB00817,Q9UL54,0
DB03201,P15085,1
DB01173,P04075,0
DB00675,Q04759,1
DB01245,P06576,0
DB00155,Q5T6L4,1
DB07555,P21695,0
DB00731,Q09428,1
DB02710,Q9NQX3,0
DB00413,P28335,1
DB07113,Q13523,0
DB04767,P08709,1
DB07692,Q9NRX3,0
DB03317,Q46444,1
DB14498,Q9RUZ0,0
DB04199,P0A1X2,1
DB08918,P22364,0
DB08144,P24182,1
DB02368,Q7LG56,0
DB11638,P50914,1
DB08294,Q8RLY5,0
DB01036,P08172,1
DB08067,O14521,0
DB07520,P25774,1
DB04803,Q6P093,0
DB01076,P04035,1
DB08000,P00147,0
DB03725,P35558,1
DB01804,Q6LFH8,0
DB04324,P50579,1
DB13948,P11137,0
DB00692,P08913,1
DB02643,P08684,0
DB01327,P02919,1
DB02633,P31723,0
DB14520,P02786,1
DB00439,P36405,0
DB04272,P06672,1
DB03180,P61949,0
DB14533,P25713,1
DB01683,Q7SIE2,0
DB01917,P17707,1
DB08221,P50613,0
DB04230,O75390,1
DB00592,P44160,0
DB00908,Q9Y257,1
DB00699,Q7KZI7,0
DB01790,P10644,1
DB02136,P48723,0
DB02918,Q08499,1
DB02028,Q7CRA4,0
DB02088,P0AE18,1
DB07151,P9WN38,0
DB03709,P00747,1
DB04547,Q9H2M3,0
DB14533,Q8N907,1
DB04063,P23560,0
DB12010,Q9UGJ0,1
DB07095,P62993,0
DB00396,P10275,1
DB03564,Q72K87,0
DB04132,P08263,1
DB07552,Q9NNW7,0
DB06710,P10275,1
DB00956,Q9Y646,0
DB01239,P28223,1
DB06530,Q746I8,0
DB01144,P00918,1
DB08176,Q6P3R8,0
DB04216,Q16678,1
DB08282,Q96RI1,0
DB00555,P30542,1
DB03243,P0A786,0
DB08676,P49354,1
DB07387,P37610,0
DB07818,P10845,1
DB00657,P03366,0
DB02930,P9WI81,1
DB01004,P43403,0
DB08549,P18031,1
DB08069,P08235,0
DB05513,P05231,1
DB08447,P06703,0
DB06234,Q68101,1
DB08005,P0A7X3,0
DB02256,P0A884,1
DB04680,Q7LG56,0
DB01496,P43681,1
DB04196,P11488,0
DB04896,O60391,1
DB12598,Q13470,0
DB07543,P07550,1
DB03509,Q06278,0
DB14488,P06746,1
DB04256,P52569,0
DB03259,P47228,1
DB02061,Q9BZV2,0
DB13985,P31391,1
DB01835,P0AAJ3,0
DB12458,P28472,1
DB04638,P9WNX3,0
DB08651,P04390,1
DB00170,P05896,0
DB00176,P31645,1
DB03343,P10276,0
DB01174,P36544,1
DB02413,Q9BV57,0
DB02379,P15587,1
DB07056,Q02218,0
DB02787,Q57265,1
DB08478,Q59FW3,0
DB02267,P59846,1
DB08304,P22055,0
DB04540,Q14994,1
DB03541,Q9NR97,0
DB03010,P68371,1
DB07878,Q9WZX6,0
DB02626,P06971,1
DB08031,Q9Y6F1,0
DB00181,Q9UBS5,1
DB07248,O00341,0
DB01144,P22748,1
DB00883,P29376,0
DB11093,P41180,1
DB03304,Q8NEV4,0
DB01901,P05230,1
DB03151,P43088,0
DB00142,P48664,1
DB04396,Q97R46,0
DB02772,O00244,1
DB03895,O95045,0
DB12874,P36888,1
DB07426,P0A827,0
DB05260,Q9S427,1
DB01666,Q8N1G2,0
DB04083,Q9X266,1
DB02666,P49069,0
DB04147,P37001,1
DB01830,Q8TDS4,0
DB03905,P56220,1
DB00545,P08631,0
DB07298,P18031,1
DB02966,O05935,0
DB00370,P08588,1
DB04659,P19961,0
DB05868,P26664,1
DB00731,P35914,0
DB04302,P9WQD9,1
DB01822,Q59288,0
DB07073,P48736,1
DB02561,P50921,0
DB09014,P35462,1
DB08705,Q4U2R8,0
DB12965,Q9Y4I5,1
DB08881,Q9Y4K4,0
DB03374,Q9KFR4,1
DB03195,P29559,0
DB00753,P31644,1
DB08191,P33151,0
DB02375,P48736,1
DB03890,P03960,0
DB00559,P24530,1
DB11455,P12996,0
DB00515,P29372,1
DB07390,Q9L6V3,0
DB08175,Q13133,1
DB00657,Q59976,0
DB08786,P07900,1
DB08144,O14732,0
DB08639,P03366,1
DB00469,P23297,0
DB12010,Q52WX2,1
DB07247,P69908,0
DB02379,Q701N4,1
DB00576,P37802,0
DB01212,Q9NSA0,1
DB07937,P0AB91,0
DB07578,P03366,1
DB07264,Q03736,0
DB00306,P14867,1
DB01830,P35963,0
DB02746,Q03181,1
DB04481,P9WFF7,0
DB00829,P28476,1
DB06194,P08246,0
DB09327,P04818,1
DB02059,Q6UX15,0
DB04854,P47989,1
DB08485,P30085,0
DB01045,P46721,1
DB05295,P14616,0
DB02366,P07477,1
DB02678,P13929,0
DB00915,P14416,1
DB07019,O15144,0
DB07927,P00811,1
DB01410,O76082,0
DB11740,P30291,1
DB08128,O75716,0
DB04137,P0A6T8,1
DB03367,Q9HB21,0
DB02379,P54583,1
DB03893,P19320,0
DB00144,P49619,1
DB11772,Q99456,0
DB03485,P02788,1
DB11979,P0AAJ3,0
DB03258,Q08698,1
DB00635,P11216,0
DB04455,P74645,1
DB08571,Q13698,0
DB07338,P56601,1
DB02066,O52646,0
DB09130,P14618,1
DB07555,Q06609,0
DB02254,P39594,1
DB05423,O95342,0
DB02742,Q9UKM7,1
DB04400,P45880,0
DB00143,Q6NSD4,1
DB08395,Q9UGM1,0
DB14487,P30101,1
DB04842,Q04828,0
DB05667,Q16850,1
DB04200,P16930,0
DB00157,Q15800,1
DB09256,P41972,0
DB01437,Q16445,1
DB07570,P22939,0
DB08330,O14949,1
DB04531,P84124,0
DB08838,P02708,1
DB09224,Q81R22,0
DB04566,P12268,1
DB06707,Q9NY46,0
DB00947,P03372,1
DB07785,P51800,0
DB01119,P77398,0
DB02264,Q9Y663,1
DB11779,Q52WX2,0
DB00201,Q13370,1
DB08261,Q9X519,0
DB12010,P51812,1
DB02595,Q99584,0
DB01897,O60760,1
DB04489,P49760,0
DB00898,P36544,1
DB04382,Q48436,0
DB07668,P17538,1
DB07216,P80192,0
DB03435,P39621,1
DB02399,P14598,0
DB02709,P31749,1
DB13914,P42898,0
DB04580,Q57VC7,1
DB00294,Q13426,0
DB04442,P07477,1
DB07339,P09769,0
DB04492,Q46079,1
DB09332,P10636,0
DB03132,P60174,1
DB04074,P30101,0
DB07315,P06737,1
DB07328,P0ABA0,0
DB04447,P04035,1
DB09409,P14920,0
DB11638,O14556,1
DB05806,A1A2B5,0
DB00811,P22413,1
DB07540,P28074,0
DB04404,P11797,1
DB07788,Q9NPB1,0
DB14533,P00736,1
DB07684,Q38087,0
DB01169,P24385,1
DB07478,P48181,0
DB01373,P98194,1
DB04090,O14792,0
DB06594,P49286,1
DB01694,Q15428,0
DB02448,P14555,1
DB02159,O43614,0
DB05297,P10415,1
DB04158,P24630,0
DB08185,P80373,1
DB03321,Q92993,0
DB03216,P23526,1
DB07274,Q9NRX3,0
DB00304,P06401,1
DB06470,Q6P996,0
DB02726,P0AB91,1
DB04631,O95644,0
DB14185,P08913,1
DB02600,Q8TD08,0
DB01056,Q14524,1
DB01911,P0AAI5,0
DB00800,P21728,1
DB02911,P07254,0
DB09237,P29474,1
DB04165,P32056,0
DB00257,P10613,1
DB00165,P21291,0
DB00280,P11229,1
DB07238,Q14353,0
DB08964,P43115,1
DB04792,Q92569,0
DB00129,P50440,1
DB09231,Q92570,0
DB01614,P35348,1
DB12965,P0AB87,0
DB04671,P13981,1
DB00192,O43272,0
DB09128,P14416,1
DB06698,O52806,0
DB03366,P40859,1
DB04768,Q9KWU1,0
DB00371,P47869,1
DB05786,Q8IYQ7,0
DB08286,P04585,1
DB08439,Q18BX5,0
DB06148,P25100,1
DB07488,Q16478,0
DB12010,P17948,1
DB03310,Q13315,0
DB01593,P29372,1
DB02885,P00403,0
DB09130,O75880,1
DB09285,P07949,0
DB01987,P0AFG8,1
DB01001,P52197,0
DB13092,P02359,1
DB07831,P38936,0
DB09130,P01861,1
DB06693,Q8IHS5,0
DB07887,P03951,1
DB00824,P05695,0
DB02482,P17612,1
DB07542,Q09013,0
DB08742,Q15788,1
DB07062,Q8IDD3,0
DB09238,Q08289,1
DB04723,Q4L5E3,0
DB02552,P62617,1
DB01419,P14923,0
DB08001,P18031,1
DB04608,Q8IKL4,0
DB03795,P31057,1
DB03612,O75891,0
DB00714,P21918,1
DB02267,P11349,0
DB00173,Q05603,1
DB08444,Q93UV9,0
DB01120,Q09428,1
DB13877,P29622,0
DB01972,P31939,1
DB00694,C0H546,0
DB03132,P52270,1
DB02517,P11233,0
DB02670,O60264,1
DB04386,P43353,0
DB01567,P18507,1
DB07597,P80748,0
DB01151,P08173,1
DB04553,Q8IVS2,0
DB04272,Q9WZW1,1
DB04016,P58335,0
DB01136,P15692,1
DB00204,P95276,0
DB00759,P0A7V3,1
DB04373,P00775,0
DB04311,P07477,1
DB12518,Q14994,0
DB03419,Q12882,1
DB01832,Q96S86,0
DB04172,P00749,1
DB06845,O43613,0
DB04614,P22303,1
DB02676,Q8NFA2,0
DB00142,P54687,1
DB09477,P42681,0
DB00229,Q8XJ01,1
DB01813,Q5JTZ9,0
DB09245,P21397,1
DB07222,P43005,0
DB05541,Q14524,1
DB00813,P15153,0
DB07643,Q96C86,1
DB03628,Q92506,0
DB01669,P50870,1
DB00304,P28335,0
DB02039,Q92993,1
DB07847,Q14643,0
DB01288,P13945,1
DB02746,P26639,0
DB01544,Q16445,1
DB06403,Q9NRE1,0
DB06663,P30872,1
DB02307,Q8ZPC0,0
DB13956,Q92731,1
DB02875,Q4ZHU6,0
DB08445,P27487,1
DB01747,P26391,0
DB08136,P24941,1
DB03526,O43677,0
DB02670,P30920,1
DB03008,Q14833,0
DB04465,P17931,1
DB14074,Q8NEB9,0
DB03661,P04531,1
DB03692,Q07075,0
DB04593,P08709,1
DB07798,Q9NZV8,0
DB02979,P29474,1
DB03892,Q9UBN7,0
DB00459,P09455,1
DB07675,Q06278,0
DB00141,O60909,1
DB06680,P16006,0
DB12010,P07949,1
DB14060,P0A8Q3,0
DB01085,P08172,1
DB08635,Q81R22,0
DB08577,P11362,1
DB02019,P36888,0
DB00360,P29474,1
DB04066,Q51948,0
DB00918,P28221,1
DB12228,P0AE67,0
DB04279,Q56268,1
DB02352,P08048,0
DB00909,P35219,1
DB08474,P0A733,0
DB02856,P69178,1
DB06335,Q9UJM8,0
DB00825,Q8NET8,1
DB01072,P00414,0
DB00801,P28472,1
DB07485,P01574,0
DB00540,P28335,1
DB00198,Q05603,0
DB04491,Q9KX40,1
DB00281,Q9UJX1,0
DB03496,P50613,1
DB04824,C0H5H0,0
DB04395,P23837,1
DB02106,P60844,0
DB01911,P32396,1
DB02346,P62580,0
DB03859,P37700,1
DB07107,P50579,0
DB00157,Q00796,1
DB02753,P9WPE1,0
DB00170,P00740,1
DB02181,Q15155,0
DB00367,P04278,1
DB00467,Q8NFA2,0
DB00540,P35367,1
DB00729,Q6IBS8,0
DB01114,P31645,1
DB03476,P0ACQ4,0
DB06917,P09960,1
DB09027,O43920,0
DB05239,Q02750,1
DB03152,Q66282,0
DB00128,P00505,1
DB04361,P0A876,0
DB08453,P08574,1
DB00466,P45124,0
DB02726,Q7ADF8,1
DB03240,Q86VU5,0
DB09481,Q05586,1
DB06194,Q04206,0
DB03705,Q81VW8,1
DB01632,Q9HBK9,0
DB04714,A0R559,1
DB02780,P18465,0
DB07459,Q16539,1
DB04591,P07437,0
DB06785,P30968,1
DB02338,P13632,0
DB00364,P02675,1
DB07087,Q08257,0
DB00276,P02763,1
DB04257,P0A988,0
DB04395,Q99661,1
DB13978,P11926,0
DB01592,Q969S2,1
DB01917,P07358,0
DB14487,P00441,1
DB08608,Q71LY2,0
DB09204,P07550,1
DB04528,P0A884,0
DB04306,Q86XF0,1
DB07545,P61497,0
DB04436,P04179,1
DB08176,Q9H228,0
DB07601,P07900,1
DB03522,O67854,0
DB13025,Q8WXA8,1
DB06953,P33402,0
DB03688,P13001,1
DB01868,Q4ZHU6,0
DB12450,P03372,1
DB07454,P32169,0
DB00721,Q01959,1
DB01671,P14625,0
DB01146,P35367,1
DB03702,P22061,0
DB00728,Q15822,1
DB12569,P05121,0
DB00237,P18507,1
DB02238,P62826,0
DB11952,P48736,1
DB01771,Q96EB6,0
DB00319,Q7CRA4,1
DB02531,P27693,0
DB12733,P41594,1
DB07856,Q7AUG5,0
DB03577,P15309,1
DB03975,Q7ADF8,0
DB01593,P14780,1
DB06713,P42971,0
DB02431,Q46893,1
DB03807,P31133,0
DB04272,P62312,1
DB07668,P13500,0
DB06016,P35462,1
DB06040,P51570,0
DB03461,Q16698,1
DB03916,Q8GBW6,0
DB05260,P01584,1
DB04474,O60858,0
DB03461,P55818,1
DB04053,Q7SIA5,0
DB06741,O60391,1
DB12140,P0A793,0
DB00311,P22748,1
DB01698,P11217,0
DB01668,Q53908,1
DB01435,P30626,0
DB11638,Q8IIR9,1
DB01336,Q9KWT6,0
DB07645,P69905,1
DB06144,P05160,0
DB09304,P41595,1
DB01971,P48181,0
DB01012,P41180,1
DB03400,Q82122,0
DB00934,P25100,1
DB03420,Q05513,0
DB04083,P21549,1
DB02468,Q81EE4,0
DB01429,Q14524,1
DB06936,P14618,0
DB01324,P55017,1
DB02015,P00749,0
DB08437,P62917,1
DB03942,Q15796,0
DB12010,Q05397,1
DB12662,Q8NW68,0
DB11967,P36507,1
DB09185,P25311,0
DB00155,Q9ULW8,1
DB01141,Q5T4S7,0
DB08275,Q8KNZ7,1
DB02632,Q13936,0
DB06852,O14757,1
DB06732,P9WPN5,0
DB03982,P18031,1
DB08740,P0AB80,0
DB03796,Q07869,1
DB02249,P10745,0
DB11148,Q00975,1
DB03807,Q01082,0
DB00142,P17174,1
DB03558,P00739,0
DB01151,P23975,1
DB07001,P0A6A8,0
DB00241,P31644,1
DB04094,Q53591,0
DB05959,Q9Y6Q6,1
DB08421,C3T8E2,0
DB00393,O60840,1
DB03186,P0A876,0
DB01161,P46098,1
DB07016,P30874,0
DB03597,Q03013,1
DB07274,P60844,0
DB11221,P04278,1
DB09041,P62330,0
DB04310,Q9HBH1,1
DB03751,P06241,0
DB01694,Q9NWT6,1
DB03045,P52687,0
DB07669,P17413,1
DB05959,Q9C0B1,0
DB02052,Q00535,1
DB09237,Q96RI1,0
DB03740,Q9Y286,1
DB12191,P08263,0
DB08502,P04585,1
DB05939,P16184,0
DB00441,P04818,1
DB04523,P00747,0
DB01245,P22303,1
DB07123,P13073,0
DB08690,O14949,1
DB02798,P03355,0
DB01254,P00519,1
DB08644,Q8WX39,0
DB00434,P28335,1
DB04410,Q8AAK6,0
DB08835,Q04609,1
DB04912,P08493,0
DB03871,P00282,1
DB08810,Q5S007,0
DB11273,P28223,1
DB06861,P24310,0
DB00869,P00915,1
DB03041,P78527,0
DB04855,P54284,1
DB02279,P03276,0
DB00475,P78334,1
DB02300,P43700,0
DB00237,O00591,1
DB04501,P48039,0
DB01590,P42345,1
DB00907,O43293,0
DB06494,P30968,1
DB04386,P10275,0
DB01496,P48169,1
DB01235,Q9UHI7,0
DB01083,P07098,1
DB07124,P05107,0
DB08547,P01859,1
DB04933,P19424,0
DB07869,P04585,1
DB03164,O00206,0
DB07785,P00813,1
DB03038,P46597,0
DB04147,P06129,1
DB12887,Q6L8H2,0
DB01956,O00591,1
DB02479,Q9UJS0,0
DB01594,P14867,1
DB07385,Q14432,0
DB03552,P07101,1
DB02567,P10646,0
DB04233,P33247,1
DB08160,Q8GEZ8,0
